trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,DEVICETYPE_acc,MacroF1Act,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
1,1_0,COMPLETED,Sobol,0.8181786350523679,0.7220165729522705,1.0,0.6326174736022949,1.0,1.0,0.07645730296881727,0.020423111474986877,256,2,128,2,max
19,19_0,COMPLETED,BoTorch,0.8279093933669374,0.7245671153068542,0.9998834133148193,0.5786164402961731,1.0,1.0,0.024715117596825185,0.0024797114661938313,256,2,128,2,max
3,3_0,COMPLETED,Sobol,0.8470146505689062,0.7133591771125793,0.9997084736824036,0.5801552534103394,1.0,1.0,0.025651146690716733,0.0020553520010210082,256,2,128,2,max
16,16_0,COMPLETED,BoTorch,0.8561408986233072,0.7197574973106384,0.9999562501907349,0.5785647630691528,1.0,1.0,0.05905214840029427,0.0019280969476909737,256,2,128,2,max
13,13_0,COMPLETED,BoTorch,0.8796542033149874,0.7255582213401794,1.0,0.5881075263023376,1.0,1.0,0.08182608852339857,0.016986859821549655,256,2,128,2,max
5,5_0,COMPLETED,Sobol,0.8842414739128883,0.7030256986618042,0.9994024038314819,0.5688464641571045,1.0,1.0,0.03238549259676836,0.0039125900358181875,256,1,128,2,max
6,6_0,COMPLETED,BoTorch,0.8973029089518628,0.717964768409729,0.998688280582428,0.5717588067054749,1.0,0.9998834133148193,0.07236291348823178,0.005155432126878917,256,2,128,2,max
14,14_0,COMPLETED,BoTorch,0.8979786427915948,0.6939019560813904,0.9995335936546326,0.5569126605987549,1.0,1.0,0.04502492968263573,0.0016607018075844695,256,1,128,2,max
17,17_0,COMPLETED,BoTorch,0.9013799724243176,0.7191745042800903,0.9997813701629639,0.5725646018981934,1.0,1.0,0.07658549399571268,0.002307720694619744,256,2,128,2,max
15,15_0,COMPLETED,BoTorch,0.9190292133022816,0.7091324925422668,0.9930041432380676,0.6457213163375854,1.0,0.999810516834259,0.06589027179242068,0.1,256,2,128,2,max
11,11_0,COMPLETED,BoTorch,0.9746678298296083,0.6940622329711914,1.0,0.5606890916824341,1.0,1.0,0.09446512381901732,0.07761493203304456,256,2,128,2,max
18,18_0,COMPLETED,BoTorch,0.9971968605718975,0.6784381866455078,1.0,0.5548961758613586,1.0,1.0,0.12620433848663415,0.006363133986276484,256,1,128,2,max
8,8_0,COMPLETED,BoTorch,1.0317802386655344,0.6775491237640381,1.0,0.5539823174476624,1.0,1.0,0.16242638086029493,0.06590872715883762,256,1,128,2,max
2,2_0,COMPLETED,Sobol,1.0655046681617297,0.6843118071556091,0.9994316101074219,0.5341612696647644,1.0,0.999810516834259,0.12215028547818878,0.007958031792637701,1024,1,128,2,max
7,7_0,COMPLETED,BoTorch,1.1099300019187075,0.6378330588340759,0.9998979568481445,0.5324360728263855,1.0,1.0,0.08909161868930085,0.08946809186617699,1024,2,128,2,max
12,12_0,COMPLETED,BoTorch,1.1435346607631258,0.6559348106384277,0.9953944087028503,0.5386955142021179,1.0,0.999810516834259,0.10155038224807221,0.0032103257554672296,1024,2,128,2,max
4,4_0,COMPLETED,Sobol,1.555747356232398,0.6541275382041931,0.9103072285652161,0.5376918911933899,1.0,0.999810516834259,0.01973007642967519,0.0010138939569658027,1024,2,128,2,max
10,10_0,COMPLETED,BoTorch,1.681690795533236,0.5615781545639038,1.0,0.4794933795928955,1.0,0.9999708533287048,0.3435410992060294,0.03546452661466645,1024,1,128,2,max
9,9_0,COMPLETED,BoTorch,2.9639479388188903,0.5960910320281982,0.6617938280105591,0.48247087001800537,1.0,0.9996501803398132,0.007971133710729788,0.00010559615682640848,256,1,128,2,max
0,0_0,COMPLETED,Sobol,5.1331127810342245,0.5045327544212341,0.44311490654945374,0.3787704110145569,1.0,0.8411502242088318,0.03122200679512663,0.0001865322718407359,1024,1,128,2,max
