,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,MAE_timestamp,MacroF1Activity,activity_accuracy,resource_accuracy,lr,heads,hid,layers,batch_size,aggregation
6,6,6_0,COMPLETED,BoTorch,2.547346776147207,0.0799722904977325,0.6498082876205444,0.6761879324913025,0.5678926110267639,0.0026981845443347766,2,128,2,256,max
19,19,19_0,COMPLETED,BoTorch,2.5666840865391576,0.08627399240862833,0.6201042532920837,0.6679194569587708,0.5684832334518433,0.003596275292791904,3,128,2,256,max
28,28,28_0,COMPLETED,BoTorch,2.568730406233505,0.09447026995253073,0.6699262857437134,0.6850469708442688,0.568697988986969,0.0022044481042223993,2,128,2,256,max
25,25,25_0,COMPLETED,BoTorch,2.5956984198307747,0.08673341748342939,0.669601559638977,0.6745234727859497,0.5661745071411133,0.003465365738528372,1,128,2,256,max
11,11,11_0,COMPLETED,BoTorch,2.597859131912254,0.1050678417596915,0.6456860303878784,0.6755973100662231,0.5708456039428711,0.00199849656346063,3,128,2,256,max
23,23,23_0,COMPLETED,BoTorch,2.5999662172916818,0.11885979638932502,0.6346587538719177,0.6745771765708923,0.5648322105407715,0.004093192928112993,4,128,2,256,max
27,27,27_0,COMPLETED,BoTorch,2.602135197297759,0.10720878630264165,0.6376252174377441,0.674630880355835,0.5681610703468323,0.001907768844783864,1,128,2,256,max
9,9,9_0,COMPLETED,BoTorch,2.6043139307262146,0.12806376967936345,0.6516845226287842,0.6792483329772949,0.5695033669471741,0.0036478578569675893,4,128,2,256,max
20,20,20_0,COMPLETED,BoTorch,2.6157159783864676,0.15059791474717937,0.6285095810890198,0.6718389391899109,0.5679463148117065,0.005895482028430563,4,128,2,256,max
18,18,18_0,COMPLETED,BoTorch,2.6204881252695436,0.10702225127040524,0.6446421146392822,0.6747382283210754,0.5661745071411133,0.0024467659467489102,2,128,2,256,max
10,10,10_0,COMPLETED,BoTorch,2.6206845105306744,0.09344748877090951,0.6676685810089111,0.6811811923980713,0.5627919435501099,0.001962755104547424,2,128,2,256,max
7,7,7_0,COMPLETED,BoTorch,2.629321193858369,0.1208772161235548,0.6283552646636963,0.6707651019096375,0.5653691291809082,0.0028499544864853308,3,128,2,256,max
22,22,22_0,COMPLETED,BoTorch,2.63011175496121,0.10387547150866626,0.6627205610275269,0.6819328665733337,0.5664429664611816,0.004070079015749134,3,128,2,256,max
4,4,4_0,COMPLETED,Sobol,2.6352940994276577,0.08744255366594825,0.6593862175941467,0.6788187623023987,0.5649932622909546,0.0015884965448165662,4,128,2,256,max
29,29,29_0,COMPLETED,BoTorch,2.6369496221615845,0.13605243875964046,0.6654876470565796,0.6799463033676147,0.5675704479217529,0.002418589383034822,3,128,2,256,max
14,14,14_0,COMPLETED,BoTorch,2.638892489370622,0.09961353632787319,0.6593466997146606,0.6806979775428772,0.5605905652046204,0.0017676831489504964,1,128,2,256,max
17,17,17_0,COMPLETED,BoTorch,2.641776868741806,0.13579111923910167,0.6522223949432373,0.6761342287063599,0.5637046694755554,0.0034393506477856414,2,128,2,256,max
8,8,8_0,COMPLETED,BoTorch,2.6550043950444215,0.12155576871886645,0.6350280046463013,0.665073812007904,0.5635973215103149,0.002418034598815038,1,128,2,256,max
24,24,24_0,COMPLETED,BoTorch,2.6647670272584647,0.14709041293149125,0.601239025592804,0.6388188004493713,0.5663355588912964,0.01380131258083577,3,128,2,256,max
16,16,16_0,COMPLETED,BoTorch,2.680451782445793,0.10987478969235943,0.6113836765289307,0.6630872488021851,0.5653154253959656,0.003268688482753486,3,128,2,256,max
26,26,26_0,COMPLETED,BoTorch,2.6963116111208314,0.15741214533782985,0.6105750799179077,0.6522952914237976,0.5669261813163757,0.004241892985322676,2,128,2,256,max
12,12,12_0,COMPLETED,BoTorch,2.6986984939199603,0.17440573707835316,0.6305803060531616,0.6612080335617065,0.5656375885009766,0.005848329103507954,1,128,2,256,max
13,13,13_0,COMPLETED,BoTorch,2.7092899217793387,0.14861043011897232,0.5903937816619873,0.6460670828819275,0.5639731287956238,0.002691798835835028,4,128,2,256,max
2,2,2_0,COMPLETED,Sobol,2.7133248348350394,0.19612568514804318,0.6601766347885132,0.6777986288070679,0.5663355588912964,0.010810673273737675,4,128,2,256,max
3,3,3_0,COMPLETED,Sobol,2.7138911205764913,0.09393602464194983,0.6461471915245056,0.6742013096809387,0.5579597353935242,0.0006362726621081523,1,128,2,256,max
21,21,21_0,COMPLETED,BoTorch,2.7160002140659993,0.22002245919549301,0.6221972107887268,0.6557852029800415,0.5653691291809082,0.022282834730259868,1,128,2,256,max
15,15,15_0,COMPLETED,BoTorch,2.826585458208845,0.07755744217397416,0.6658251881599426,0.681718111038208,0.5238657593727112,0.0008045246451788937,4,128,2,256,max
0,0,0_0,COMPLETED,Sobol,3.233963593993693,0.09763840407337228,0.6049185991287231,0.6511677503585815,0.42786577343940735,0.0001865322718407359,3,128,2,256,max
1,1,1_0,COMPLETED,Sobol,3.394263681687721,0.34779571813263305,0.6183190941810608,0.6539060473442078,0.4440268278121948,0.09481987713714654,2,128,2,256,max
5,5,5_0,COMPLETED,BoTorch,3.5784519808239317,0.15640009097652893,0.5664829015731812,0.6366174221038818,0.3211275041103363,0.0001,4,128,2,256,max
